Zip Code,City/Township/Community,Municipal,County,State,Utility
17929,Cressona,,Schuylkill,Pennsylvania,UGI
17931,Frackville,,Schuylkill,Pennsylvania,UGI
17932,Frackville,,Schuylkill,Pennsylvania,UGI
17934,Gilberton,,Schuylkill,Pennsylvania,UGI
17935,Girardville,,Schuylkill,Pennsylvania,UGI
17936,Gordon,,Schuylkill,Pennsylvania,UGI
17938,Spring Glen,,Schuylkill,Pennsylvania,UGI
17941,Klingerstown,,Schuylkill,Pennsylvania,UGI
17953,Middleport,,Schuylkill,Pennsylvania,UGI
17954,Minersville,,Schuylkill,Pennsylvania,UGI
17959,New Philadelphia,,Schuylkill,Pennsylvania,UGI
17961,Orwigsburg,,Schuylkill,Pennsylvania,UGI
17965,Port Carbon,,Schuylkill,Pennsylvania,UGI
17967,Ringtown,,Schuylkill,Pennsylvania,UGI
17968,Sacramento,,Schuylkill,Pennsylvania,UGI
17970,St. Clair,,Schuylkill,Pennsylvania,UGI
17972,Schuylkill Haven,,Schuylkill,Pennsylvania,UGI
18011,Alburtis,,Lehigh,Pennsylvania,UGI
18013,Bangor,,Northampton,Pennsylvania,UGI
18014,Bath,,Northampton,Pennsylvania,UGI
18015,Bethlehem,,Northampton,Pennsylvania,UGI
18015,Bethlehem,,Northampton,Pennsylvania,UGI
18016,Bethlehem,,Northampton,Pennsylvania,UGI
18016,Bethlehem,,Northampton,Pennsylvania,UGI
18017,Bethlehem,,Northampton,Pennsylvania,UGI
18017,Bethlehem,,Northampton,Pennsylvania,UGI
18018,Bethlehem,,Northampton,Pennsylvania,UGI
18018,Bethlehem,,Northampton,Pennsylvania,UGI
18020,Bethlehem,,Northampton,Pennsylvania,UGI
18020,Bethlehem,,Northampton,Pennsylvania,UGI
18025,Bethlehem,,Lehigh,Pennsylvania,UGI
18030,Bowmanstown,,Carbon,Pennsylvania,UGI
18031,Breinigsville,,Lehigh,Pennsylvania,UGI
18032,Catasauqua,,Lehigh,Pennsylvania,UGI
18034,Center Valley,,Lehigh,Pennsylvania,UGI
18036,Coopersburg,,Lehigh,Pennsylvania,UGI
18037,Coplay,,Lehigh,Pennsylvania,UGI
18039,Durham,,Bucks,Pennsylvania,UGI
18040,Easton,,Northampton,Pennsylvania,UGI
18042,Easton,,Northampton,Pennsylvania,UGI
18043,Easton,,Northampton,Pennsylvania,UGI
18044,Easton,,Northampton,Pennsylvania,UGI
18045,Easton,,Northampton,Pennsylvania,UGI
18049,Emmaus,,Lehigh,Pennsylvania,UGI
18051,Fogelsville,,Lehigh,Pennsylvania,UGI
18052,Whitehall,,Lehigh,Pennsylvania,UGI
18055,Hellertown,,Northampton,Pennsylvania,UGI
18056,Hereford,,Berks,Pennsylvania,UGI
18058,Kunkletown,,Monroe,Pennsylvania,UGI
18059,Laurys Station,,Lehigh,Pennsylvania,UGI
18062,Macungie,,Lehigh,Pennsylvania,UGI
18064,Nazareth,,Northampton,Pennsylvania,UGI
18067,Northampton,,Northampton,Pennsylvania,UGI
18068,Old Zionsville,,Lehigh,Pennsylvania,UGI
18069,Orefield,,Lehigh,Pennsylvania,UGI
18070,Palm,,Montgomery,Pennsylvania,UGI
18071,Palmerton,,Carbon,Pennsylvania,UGI
18072,Pen Argyl,,Northampton,Pennsylvania,UGI
18077,Riegelsville,,Bucks,Pennsylvania,UGI
18078,Schnecksville,,Lehigh,Pennsylvania,UGI
18080,Slatington,,Lehigh,Pennsylvania,UGI
18083,Stockertown,,Northampton,Pennsylvania,UGI
18085,Tatamy,,Northampton,Pennsylvania,UGI
18087,Trexlertown,,Lehigh,Pennsylvania,UGI
18088,Walnutport,,Northampton,Pennsylvania,UGI
18091,Wind Gap,,Northampton,Pennsylvania,UGI
18092,Zionsville,,Lehigh,Pennsylvania,UGI
18098,Emmaus,,Lehigh,Pennsylvania,UGI
18099,Emmaus,,Lehigh,Pennsylvania,UGI
18101,Allentown,,Lehigh,Pennsylvania,UGI
18102,Allentown,,Lehigh,Pennsylvania,UGI
18103,Allentown,,Lehigh,Pennsylvania,UGI
18104,Allentown,,Lehigh,Pennsylvania,UGI
18105,Allentown,,Lehigh,Pennsylvania,UGI
18106,Allentown,,Lehigh,Pennsylvania,UGI
18109,Allentown,,Lehigh,Pennsylvania,UGI
18195,Allentown,,Lehigh,Pennsylvania,UGI
18201,Hazleton,,Luzerne,Pennsylvania,UGI
18202,Hazleton,,Luzerne,Pennsylvania,UGI
18219,Conyngham,,Luzerne,Pennsylvania,UGI
18219,Conyngham,,Luzerne,Pennsylvania,UGI
18222,Drums,,Luzerne,Pennsylvania,UGI
18223,Ebervale,,Luzerne,Pennsylvania,UGI
18224,Freeland,,Luzerne,Pennsylvania,UGI
18229,Jim Thorpe,,Carbon,Pennsylvania,UGI
18235,Lehighton,,Carbon,Pennsylvania,UGI
18237,McAdoo,,Schuylkill,Pennsylvania,UGI
